Tweet Text,label (annotator1),label (annotator2),label (annotator3)
"UK warning over traditional toast, potato diet - Shanghai Daily (subscription)",0,1,
"Fans of slave-raping Islamic State fly the flag in London, Jersey & outside the White House.",1,1,
"WATCH: Police in Texas release surveillance video they say shows shoplifter stuffing $1,700 guitar down his pants:",1,1,
Zendaya via Vogue's Snapchat (voguemagazine): This girl is on fire #womensmarch,0,0,
"Transnet's new locomotives are unusable because they ""vibrate excessively"" & would thus spill the gravy.",0,1,
America is facing a crisis never before seen in our times. The majority of Americans question whether POTUS was installed by Russia. Act.,1,0,
Skelms: Ford ‘obstructing’ police probe of fatal Kuga fire - Times LIVE via @TimesLIVE,1,1,
If only Chicago cared this much about their kids who are getting killed on a daily basis there.,0,0,
",Nigerian military killed over 20 unarmed #Biafrans celebrating #DonaldTrump's Inauguration",1,1,
"20-year-old Birrigun Dunn-Velasco, the lead singer of band Dispossessed, has been charged after trying to light the Aus flag on fire.",1,1,
"#Morocco-exchange of fire reported during raid against #ISIS cell planning an attack. Firearms, knives and bomb mak…",1,2,
Black Trump supporter stands in middle of Women’s March and absolutely goes off on shocked crowd…,1,1,
One of #Russian banks financially meddling /w US elections was Alfa Bank. What could have been the second?…,1,1,
RBS takes $4bn hit over US mis-selling scandal:,2,2,
"Gloria Steinem says marchers in Berlin wanted to share this message: ""We in Berlin know that walls don't work""…",2,2,
"Sevilla given the same punishment Sporting Gijon got for racist chanting. In effect, they are saying racist chanting is the same as rivalry.",0,0,
"Meanwhile, they want to rewrite field manual to allow EIT. Puts U.S. forces at risk worldwide for no inte…",0,0,
Dobbs: Corporate America deployed its media assets to attack Trump,0,2,
Quite a few callers & followers today asked how rockslides are removed. Here's a brief glimpse behind today's Kern…,0,0,
"While Trudeau talked a good game on climate, critics say his actions have been in stark contrast to that rhetoric.…",1,2,
Poll: 74 Percent of Californians Want to End Sanctuary Cities,2,2,
"To understand life on Earth, it's worth reading what killed almost everything in the 5 big mass extinctions:…",0,0,
Powerful 7.9 earthquake hits Solomon Islands,3,3,
"What happens when Victor the polar bear at Yorkshire Wildlife Park needs a dentist? Get the fire service, of course…",1,1,
"Marie Connolly Owens, America's First Female Police Officer",0,0,
nvr posted a finished pic of this on twitter! oil & acrylic on 2ftx2ft wood panel. doin prints for $13 & shipping o…,0,0,
Bomb threat stay classy Madison,1,1,
"Nor'easter will bring high wind/snow to Northeast Mon./Tues. Latest forecast on Local Now. Available on Apple, Andr…",1,1,
Chris Johns: Weakness of German banks a systemic threat to euro itself via @IrishTimesBiz,1,2,
Our thoughts and prayers are with the @CLEpolice & family of Police Officer David Fahey who was killed in the line of duty today.,0,1,
LAWSUIT FILED AGAINST BANC OF CALIFORNIA: Hagens Berman Alerts Investors in Banc of California to Securities...,0,2,
Manchester City fans at Wembley. 1969 FA Cup Final,0,0,
Temperatures Drop In Mass. As Arctic Cold Blast Moves In #Arctic #arctic,0,1,
4' Lukman slips @cosmosdauda14 through on goal. The ball bounces up in front of the strike but his shot rises just over the bar. #AHOSC 0-0,0,0,
Home Ministry transfers Motihari case (where bomb was found on railway track in Oct'16) to NIA,1,1,
"Scientists discover material that conducts electricity but not heat, violating the Wiedemann-Franz law…",1,1,
I'm starting to become and embarrassed Fox news by having Shepard Smith on your news shows,0,0,
Trump Kept FBI Traitor Comey As Director & Wants Us To Believe Comey Is Going To Investigate Election Fraud…,1,1,
Chapman student's nonprofit plans to open $2 million soap factory in Kenya,1,1,
if you hope Erdo_an gets to the bottom of pizzagate... starting to suspect Gülen is involved,0,0,
3/4 Accident on Riversands Blvd before Rose Road - delay leaving Diepsloot.,0,0,
Damning indictment of AAP's fraud politics,1,1,
National Park Service staff escalate campaign against Trump,2,2,
"Biafra: You Are The Fraudster Not Nnamdi Kanu— Prophet Nwoko Blasts Uwazuruike, Warns Against Sabotaging Biafra……",0,0,
"Of these six, Iran and Sudan neither have a major terrorism problem within their soils. Sudan doesn't even have a minor terrorism problem.",0,0,
White working class women died fighting fascism. Let's not dismiss them and their struggle to justify anger at one US election statistic.,0,0,
"Perfect shot of the beautiful sunrise, the horizon and the fishing boat at The Sands at Chale Island Cc…",0,0,
"#FZ25 gets great styling, 20.5 BHP & 20 Nm, LED headlamps. No ABS, no liquid/oil cooling #NewAgeMacho…",0,0,
Soros pays fake left to get arrested,0,0,
During the 9-year 'war on science' in Canada federal scientists were prevented from sharing research with public.,0,1,
#KolesCoinNews | Video Crypto News: | Warning for Zcash users:,0,0,
James Eagem Holmes murdered 12 people and injured dozens of others in the 2012 Aurora movie theater shooting,0,0,
Oregon just showed states how to fight back against the war on women,1,1,
Safe Steps! ! Promoting Road Safety looking out for the vulnerable road users helping to make Grea…,0,0,
"A union representing Centrelink workers has written to minister Tudge saying staff are under ""extraordinary stress""…",0,1,
BOOM! Sheriff Clarke DESTROYS Liberal “Snowflake” Who Made Complaint With THIS SERIOUS “THREAT”…,0,0,
"Naturally, Piers Morgan’s Response to the Women’s March Is Generating Anger",0,1,
King's College London admits it is monitoring students' emails,1,1,
The Stanford Rapist's Judge Just Gave Three Years To A Latino Man For THE SAME Crime,0,1,
Kellyanne Conway's appearance today was like the Jedi mind trick if you dropped out of Jedi classes after level one.,0,0,
"Julie Andrews calls the late Mary Tyler Moore a ""joy to work with.""",1,1,
"Middle class kenyans shud b on fire with calls 2resign but no, they wait 2go talk in bars and salons, shrug, pay hi…",0,0,
Trump & Pence's lies corrode & corrupt fundamental tenets of our democracy. Excruciating to watch this happening.,0,0,
"See Chris Froome is his first race of 2017. Tomorrow, 12:30pm, at the Albert Park GP circuit, Race Melbourne Toward…",0,0,
Man Arrested For Genitally Mutilating Two-Year-Old Girl At Home,0,1,
Fire service considers cuts to fire alarm response at commercial premises - Article by Business MK,0,1,
Kellyanne Fights 'Dramatic' Chuck Todd On Inauguration Crowd | The Daily Caller,1,2,
Patient’s Fart Sparks Serious Fire During Laser Surgery,0,0,
Tribute to the Life & Times of the great Nepali Rapper Yama Buddha Founder of Rap Battle Raw Barz and his...,0,0,
Used maybe for blackmailing. Pizzagate is just a new silly name for old thing. Investigation here…,0,0,
"Cheers ERUPT as the anti-war bloc joins BLM at the checkpoint shut-down. ""No justice, no peace"" becomes ""BLACK LIVE…",1,1,
"NYC water protectors trapped inside barricades! ""Show me what a police state looks like!"" #NoDAPL #kXL #DAPL",0,1,
SoCal residents are bracing for Sunday's storm after Friday's system struck the region,1,1,
Which teams have the best shot at an appearance in Super Bowl LII?,0,0,
Here's How @POTUS Could Make Mexico Pay for the Border Wall,2,1,
This Behind-the-scenes Footage of SHINee’s “Everybody” MV Is Too Funny Watch the video:,0,0,
"Bremerton Police seize $650 in cash & a ""substantial amount"" of meth in a raid on a known drug house. So far no arr…",1,1,
Blockchains are the future of VC funding. Agree or disagree? Tell us here,0,0,
Theresa May omitted to mention this to Parliament when she sought £40 billion for Trident,1,1,
From Journal of Electoral Studies: Do Noncitizens Vote in US Elections? (Sure they do),0,0,
Labor secretary nominee’s confirmation hearing delayed again,2,2,
USA looses millions of in medical care write offs in caring for illegal immigrants & in education who reimburses USA,1,1,
"Peaceful Protest: 750,000 People Went to the L.A. Women's March - and Zero Got Arrested",1,2,
Zoos across the U.S. participated in #cuteanimaltweetoff because hope is not dead,1,1,
Rose left out front of Mary Tyler Moore's TV home in Minneapolis. #kare11,0,0,
Reports: Allman Brothers' Butch Trucks committed suicide in front of his wife,1,1,
"Endured -15C dressed in a flimsy medieval costume to capture the best of footage for the upcoming ""Weaver of Odds"" book trailer. #backtowork",0,0,
Disturbing Footage Showing Lesbian Pretoria Students Having S2X Behind The Library Causes Stir…,0,0,
Massive wildfire breaks out in Kunjo,1,2,
Justice for porcupine beaten to death with baseball bat! Plz sign:,0,0,
"NOT FAKE NEWS IS THE FACT, Their has never been a Palestinian state. FAKENEWS is a 2 state solution when Islam denies Jews",0,0,
"#RailaPresser.Hello Kenyans kindly tell me where Kabura,Ben Gethi and all the NYS scandal went to.",0,0,
#HuffingtonPost Tube Strike: London Underground Workers To Stage Two Strikes Next Month,1,2,
"@Border_Angels deport him..he can be ""proudER"" to be Mexican in Mexico. Build the wall and end ILLEGAL IMMIGRATION. T",0,0,
Warning area (blue) & the estimated impact area for Bushfire ADVICE current for Argyle & Gwindinup. Downgraded due…,1,1,
Sentenced: Watford drink driver who led police on 20-mile chase before crashing into health centre,1,1,
"Fugitive former UT student surrenders in 1983 rape, killing of young Austin mom | @debruijneline",1,1,
".@legocopgta created Toronto police Lego figures as a hobby, but now he’s overwhelmed at the demand for his work.…",0,0,
"Tornado warning for Autauga Co, along AL Hwy 14, moving E. Take Cover #alwx",2,2,
"Tell Your Rep, ""Vote No on HR 7, Yes for Women's Healthcare."" Shocking details of this anti-woman bill here:",0,1,
"Police Sgt. Sean Hill was attacked, hit in the head and knocked unconscious by Hillary supporters protesting Presid…",1,1,
D.C. riot was well organized -,1,1,
Safety alert issued on search for Federal Inmate David Maracle who escaped from Kingston correctional facility…,1,1,
Appointments of Goldman-linked people to the Trump administration heightens fears over Wall Street's grip on DC,2,2,
Why Democrats should filibuster whoever Trump nominates for the Supreme Court:,2,2,
"Cat Hog-Tied, Set on Fire, and Thrown From Window–Demand Justice!! #StopAnimalCruelty #StopAnimalAbuse #animalrights",0,1,
"Conservatives didn't want boots on the ground in Syria (good), but they'll send their children to die in an absurd Trump's…",1,1,
Every bullshit right wing news story that ever passed thru Breitbart or the Daily Caller is now national policy.,0,0,
Are Trump & Mexican President Provoking Conflict to Distract from Low Approval Ratings at Home?…,3,3,
S/o to the smash group chat for this imminent existential crisis,0,0,
"POTUS & VP want to silence health facts, Didn't Pence learn his lesson when he triggered an HIV outbreak as Gov.?",3,3,
Dim the Fluorescents': The Corporate Training Seminar That Became a Slamdance Grand Jury Prizewinner,0,0,
Excited to Announce Session III of the Adidas Select Series in Washington DC (New 24) will have grades 3rd-8th part…,0,0,
"Let us pray for the grace of a fresh start for many people who lost all to,fire, flood,motor accident or plane crash and other disasters.",0,0,
#mitedp Panorama shot from the final day of the Entrepreneurship Development Program 2017 at MIT,0,1,
"State Dems say AG @RepBecerra will fight to defend protections for the gay and lesbian community, women & immigrants",1,2,
"Storm teams are heading home today from Hattiesburg, after helping Mississippi Power following tornadoes that struc…",1,1,
Iran--the leading state-sponsor of terrorism--continues its domestic repression. H/T @RonnyNaftaniel,0,1,
Martellus Bennett having the time of his life dancing to some Whitney Houston,1,0,
"Rachel Maddow: Trump's climate gag order means ""data is disappearing""",2,2,
"(Sylvania, Harroun Park) Pikachu 33% (7/8/0) quick attack fast/discharge) till 23:45:20 (29m 34s)",0,,0
"Discussion of psycho-social issues is most important convo the MD can have with a cancer survivor -Mary Flowers, MD of @fredhutch #survonc17",0,,0
we are loyal warriors we fight for this show everyday if bellarke isn't endgame I'm setting fire to my house with m…,0,,0
"EMERGENCY WARNING Mcinerney Rd, Camberwell. Fire crossed New England Hwy towards Camberwell Village. Shelter in place as fire front arrives.",1,,1
Ex-Bank of England governor is critical of central banks for losing focus and humility,2,,2
"Sanchez Energy's Acquisition Of Anadarko Acreage - Getting Bigger, But Not Necessarily More... $APC $SN",1,,2
Dinah CHICKENS ATTACK #5HBestFans,0,,0
US Crude Oil Supply Forecast #OOTT,1,,1
First pass PRB Bill 2012 pending in Parliament...still running on old PRB Act 1867 for newspapers and books…,1,,1
Most Abused Words in Mid East: Honor Martyr Justice Truth Occupation Racist Zionist Rights Man God Pure Palestine A…,0,,0
"So is getting shot in the kneecaps Jez. Didn't stop you supporting the IRA though, did it? Awkward.",0,,0
Finding Common Ground Through Climate Change Conflict #CSR,0,,0
Car driver dies during lorry crash on A14 at Creeting St Mary,1,,1
"Ministers, police vehicles to pay toll fares - Bulawayo24 News",1,,1
Richard Spencer was giving an interview with a local news channel about a frog meme before the attack. Now he's international news.,1,,2
"Police probe into allegations of financial irregularities at Lancashire County Council cost £2m, says PCC",1,,1
No Time Like Now To Relax Fiscal Deficit Target; DeMo Is India's Lehman Redux - Swarajya -,1,,1
"Well, they may not get to march. But there r a thousand shards of Trump's ego spread around Washington. So next time",0,,0
"This is flagrantly false, & Trump's rhetoric has dangerous consequences. Thanks to partisan polarization, many Repu…",0,,0
Booth and Brennan in an explosion.mp4 - Booth and Brennan in an explosion. A video shared with Dropbox.,0,,0
FBI identifies WhatsApp as next target while court case with Apple goes on #WhatsApp #WhatsApp,2,,3
shinee are a talented unproblematic group they have no scandals and they haven't lost any members how do people not stan them,0,,0
"Anonymous: Bikers For Trump(footage), DisruptJ20, Donald Trumps Inaugura...",0,,1
Chaim Rumkowski hoped & failed to save Lodz's Jews by cooperating & aiding Nazis. He was killed by fellow prisoners…,0,,0
TopNews: Farmers suicides: Supreme Court seeks government response - Financial Express,1,,1
Declassified CIA file predicted 5 crucial signs Biafra push would be a disaster in 1967 -,0,,0
"BI Comm Robles said when Calima told them he had cctv copies of alleged bribery,he also said ""di nyo kasi ako sinasama"" @News5AKSYON",1,,1
"Albany, GA Tornado. Houses damaged, trees down everywhere, luckily haven't seen any injuries yet",2,,2
Chick-fil-a's owner is a Trump supporter! Me: Damn dats crazy...,0,,0
Aquino said he was not liable for Oplan Exodus because police operations do not need approval from the president.,1,,2
Bus full of Montrealers enroute to the Washington Mall to join 100s of thousands of women in post election protest.…,0,,0
"@sahouraxo the soon the be next victim of the ""Assad must go"" curse",0,,0
Seriously?': Edmonton police issue $465 ticket for cracked driver's licence,1,,1
Matt Damon plans to pitch Trump on clean water,2,,2
"South Georgia needs your prayers now more than ever. 11 lives lost, 19 people injured in last night's storms. #gawx…",2,,3
King and POTUS making up different voter fraud stories. Like True and me telling each other dinosaur stories except…,0,,0
"Rescue helicopter crashes in central Italy, 6 killed",2,,2
WEATHER ALERT: The wind and rain are causing trees to fall and streets to flood. Please use caution on the roads,1,,1
Mayor Garcia joined @District2LB and AO7 community at their clean up this morning - committed residents working to…,0,,0
"Yeah, I wish you could tell this to Qandeel Baloch and several like her who are beaten & even killed for not wearin…",0,,0
Traffic police barred from serving as guard or gunmen for any officer #Karachi,0,,1
Near fatal racial hate crime beating in Lower East side of NYC,1,,1
"Tories renege on promise that Scotland will be treated as equal, and ignore Scotland's vote to #Remain. Message to them is #novoicenoexit",1,,1
shieldsgazette_.com Karl Darlow on the threat posed to Newcastle by Brighton and THAT save against,0,,1
Brexshit is Crisis.. This is how the Tories operate vulture capitalism exists in Crisis,0,,0
Tornado Warning for Clinch and Echols Counties in GA until 10:00 AM EST,2,,2
#NEWS || Minister Martinez: “We have made considerable progress in the oil prices recovery within a short time”,3,,3
"Racist thug jailed for ""appalling"" attack on Asian shopkeeper",0,,1
"Assessing the latest options in the H20 aisle—alkaline, boxed, Ice Age–era. Plus: A tasting with Adam Platt",0,,0
I suspect Chelsea Handler heard Melania speak French and--being the ignorant rube she is--concluded: That woman doe…,2,,0
Holyrood is small. Westminster is far away. Father Ted explains the constitution to nationalist Dougals.,0,,0
Sounds like some LibDems MPs agree with Paddy Ashdown’s June 23rd comments that the result should be respected.,0,,0
#world #news Deutsche Welle: Source says fake news targets Germany’s Merkel ahead of…,1,,2
You've got to wonder if O'Leary is running for the Federal CPC or simply to dethrone Wynne?,0,,0
"Justin Bieber's ""Sorry"" hit 2.2 billion views on YouTube in a record 439 days. A massive 155 days faster than the p…",0,,0
Join Coach Lustig and the staff to announce the 2017 Edinboro Football recruiting class and view highlights of the…,0,,0
Apparently Democrats would rather that Trump had spent the day bombing people...,0,,0
"At the Orlando United Assistance Center, we're still here to help those directly impacted by the Pulse tragedy -->…",0,,1
Florida man arrested for breaking into jail to hang out with friends #drugs #prison,1,,1
"I was proud to walk in the Bloomington, IN March For Life today. The crusade to make unborn baby murder illegal and unthinkable continues.",0,,0
"Illegal aliens murder, rob, rape and molest, but they'd never commit voter fraud. It would take an idiot to believe that. #facts",0,,0
.@TVDonKaplan: Oscars flub nominations reveal and avoid press conference like Trump,0,,0
"Joined the U.S. Naval Submarine Service to serve on 2 Fast Attack Nuclear Submarines, a US Navy…",0,,0
The Green Party has called for London mayor Sadiq Khan to bring forward his ban on dangerous ‘off road’ lorries…,1,,2
TorkMag 20rd Glock Mags and AR Lower Conversion Kits | SHOT 2017 #ShootingAccessories #SHOTShow2017 #guns,0,,0
"New Jersey Convenience Store Owner Pleads Guilty to $840,000 Food Stamp Fraud Scheme",1,,2
Highway 17 jammed as authorities search for Scotts Valley robbery - The Mercury News --,1,,1
Najeeb's missing sequence was all staged to highlight victimhood of Muslims under Modi Govt.Plan was produced n dir…,0,,0
Chris Wallace Grills Priebus: ‘How Does Arguing About Crowd Size’ Help the American People?,1,,2
Naman from New Delhi set a wonderful example when he saved a child's life & ensured the child did not drown in a 12…,1,,1
Obama: Muslim Brotherhood Ally & Anti-Anti-Terrorist | National Review. Andy knows what he is talking about!,0,,0
Trump To Issue Horrifying Executive Order On CIA ‘Black Site’ Prisons (DETAILS) via @Bipartisan…,1,,3
If anyone is willing to help a family who lost their home and car in Albany today due to the tornado please DM me.,0,,0
"As the Fire finishes Camphor, in same way One's Pious Efforts get Vanished who Tortures Saints - Bori…",0,,0
Woman ticketed in crash that paralyzed Hazelwood police officer,1,,1
A very proud moment for Rob being presented his certificate for serving 37 years with West Sussex Fire & Rescue Ser…,0,,1
What about reporting on the 50 million or so women Muslim refugees Obama's JV ISIS team displaced? Don't they have…,0,,0
"Buildings in Boone, police car vandalized... $5k in damage. @boonepolice searching for vandals now. Recognize them?…",1,,1
Children are being forced to breathe toxic air Here is what London's headteachers are saying to @MayorofLondon,0,,1
We are asking for help in identifying this suspect. If you have any information please contact the Pasco Sheriff's…,0,,1
"Police hunt AirBnB tenant who posed as landlord to fleece victim of £1,600",1,,1
The National Weather Service has issued a tornado watch until 3 a.m. for Santa Rosa County.,1,,1
"Suspect who knocked woman down and snatched her purse in Beacon Hill has earrings, facial hair and olive complexion…",0,,1
Van Jones is the most racist person in America today. His 'whitelash' & relentless attack of Trump/GOP shows pathological anti-white racism.,0,,0
Sean Spicer is the new Baghdad Bob. That was positively Soviet.,0,,0
Vice Liar in Chief Kelly Anne why does anyone interview never answers anything stop having her on till she has answers not rants,0,,0
Military/police intelligence personnel intimidated Relatives of Disappeared persons who commenced fast unto death c…,0,,0
Real problem of getting land for public projects is CORRUPTION: Unra pays Shs 600m to NARO land encroacher!!,1,,1
"Hit n run victims were not innocent,used to work for underworld Chulbull pandey killed them",0,,0
Just wondering how voter registration is an emergency when there is drought and death cos doctors are on strike. Our priorities though?,0,,0
Pro-Trump site that published some false stories during campaign gets first question at White House briefing.,2,,2
How To Fix High CPU Usage and RAM Leakage in Windows 10 PC,0,,0
"More 'enrichment' from Religion of Peace. When next attack comes, these police won't be there.",0,,0
Is Trump already in violation of the Emoluments Clause of the Constitution?,2,,2
Is this your washer? Police aim to reunite device with owner after thief is caught,0,,0
"If there is anyone left that doesn't know yet, Linda Sarsour @lsarsour also has ties to the terrorist organization…",1,,1
British probe findings in Rolls-Royce corruption case to help CBI’s inquiry,1,,2
Heard all forces in Lutyens' Delhi are on their their last mile efforts on the selection of new Delhi Police Commissioner.,0,,1
Clinic That Killed Woman in Botched Abortion Left Her on the Table With Her Legs in the Stirrups…,1,,1
Salman is above & beyond everything... BO collections etc & the AMAZING work he is doing thru #BeingHuman says it a…,0,,0
"Trump's first week suggests he is willing to make impulsive calls, leaving many in Washington flummoxed",2,,2
Sensible Democrats and Republicans need to unite again at the John McCains and Lindsey Grahams of the world.,0,,0
London Toy Fair Reveals: Twin Peaks Pop!s & Action Figures!,0,,0
"Deborah Parker, one of the organizers of Indigenous Women Rise, talks about why she marched in Washington today.",1,,2
Fashola Pleads With ‘Angry’ Militants; Promises Nigerians Steady Power This Year via…,1,,1
New tactic? Crafty pro ISIS twitter account seems to outlast daily @Twitter purge by auto deleting tweets. Account…,0,,1
(TTB)Multiple Suicide Bomb Blasts Rocks Borno State This Morning (Pics) : Tari Taribo's Blog |,1,,2
"From Assist Officer - Bronx, NY: Unit requesting assistance in transit regards to a male refusing to… #BreakingNews",0,,1
"ILX extends time of Flood Warning for Little Wabash River near Clay City [IL] till Jan 25, 4:00 PM CST",1,,1
"Only a racist would support Milo, Breitbart or hate those who point out racism. @jallow94",0,,0
"Very heavy pocket of rain pushing through Malvern, Exton and Norristown. Lots of ponding on the roads, slow it down.",1,,1
"A bible was found untouched amid tornado wreckage in Mississippi, opened to a page that read ""God is our refuge""…",1,,0
Confirmed! Kareena Kapoor Khan to turn showstopper for Anita Dongre's LFW finale show,0,,1
@BrianWilsonDC Trump supporters don't cluster in safe spaces like DC where alternative idealogies are life-threatening terror,0,,0
